data_set	prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
sim_50	STAR-Fusion	557	167	1	333	0.33	0.99	0.495
sim_50	STAR-Fusion	560	166	1	334	0.33	0.99	0.495
sim_50	STAR-Fusion	588	165	1	335	0.33	0.99	0.495
sim_50	STAR-Fusion	599	164	1	336	0.33	0.99	0.495
sim_50	STAR-Fusion	609	163	1	337	0.33	0.99	0.495
sim_50	STAR-Fusion	617	162	1	338	0.32	0.99	0.484
sim_50	STAR-Fusion	620	161	1	339	0.32	0.99	0.484
sim_50	STAR-Fusion	623	160	1	340	0.32	0.99	0.484
sim_50	STAR-Fusion	660	159	1	341	0.32	0.99	0.484
sim_50	STAR-Fusion	669	158	1	342	0.32	0.99	0.484
sim_50	STAR-Fusion	675	157	1	343	0.31	0.99	0.472
sim_50	STAR-Fusion	685	156	1	344	0.31	0.99	0.472
sim_50	STAR-Fusion	695	155	1	345	0.31	0.99	0.472
sim_50	STAR-Fusion	715	154	1	346	0.31	0.99	0.472
sim_50	STAR-Fusion	719	153	1	347	0.31	0.99	0.472
sim_50	STAR-Fusion	744	152	1	348	0.30	0.99	0.460
sim_50	STAR-Fusion	793	151	1	349	0.30	0.99	0.460
sim_50	STAR-Fusion	804	150	1	350	0.30	0.99	0.460
sim_50	STAR-Fusion	825	149	1	351	0.30	0.99	0.460
sim_50	STAR-Fusion	831	148	1	352	0.30	0.99	0.460
sim_50	STAR-Fusion	843	147	1	353	0.29	0.99	0.449
sim_50	STAR-Fusion	853	146	1	354	0.29	0.99	0.449
sim_50	STAR-Fusion	856	145	1	355	0.29	0.99	0.449
sim_50	STAR-Fusion	864	144	1	356	0.29	0.99	0.449
sim_50	STAR-Fusion	890	143	1	357	0.29	0.99	0.449
sim_50	STAR-Fusion	913	142	1	358	0.28	0.99	0.437
sim_50	STAR-Fusion	944	141	1	359	0.28	0.99	0.437
sim_50	STAR-Fusion	1006	140	1	360	0.28	0.99	0.437
sim_50	STAR-Fusion	1013	139	1	361	0.28	0.99	0.437
sim_50	STAR-Fusion	1157	138	1	362	0.28	0.99	0.437
sim_50	STAR-Fusion	1161	137	1	363	0.27	0.99	0.424
sim_50	STAR-Fusion	1167	136	1	364	0.27	0.99	0.424
sim_50	STAR-Fusion	1174	135	1	365	0.27	0.99	0.424
sim_50	STAR-Fusion	1197	134	1	366	0.27	0.99	0.424
sim_50	STAR-Fusion	1199	133	1	367	0.27	0.99	0.424
sim_50	STAR-Fusion	1230	132	1	368	0.26	0.99	0.412
sim_50	STAR-Fusion	1243	131	1	369	0.26	0.99	0.412
sim_50	STAR-Fusion	1261	130	1	370	0.26	0.99	0.412
sim_50	STAR-Fusion	1289	129	1	371	0.26	0.99	0.412
sim_50	STAR-Fusion	1384	128	1	372	0.26	0.99	0.412
sim_50	STAR-Fusion	1459	127	1	373	0.25	0.99	0.399
sim_50	STAR-Fusion	1470	126	1	374	0.25	0.99	0.399
sim_50	STAR-Fusion	1479	125	1	375	0.25	0.99	0.399
sim_50	STAR-Fusion	1484	124	1	376	0.25	0.99	0.399
sim_50	STAR-Fusion	1537	123	1	377	0.25	0.99	0.399
sim_50	STAR-Fusion	1577	122	1	378	0.24	0.99	0.386
sim_50	STAR-Fusion	1590	121	1	379	0.24	0.99	0.386
sim_50	STAR-Fusion	1600	120	1	380	0.24	0.99	0.386
sim_50	STAR-Fusion	1637	119	1	381	0.24	0.99	0.386
sim_50	STAR-Fusion	1673	118	1	382	0.24	0.99	0.386
sim_50	STAR-Fusion	1679	117	1	383	0.23	0.99	0.373
sim_50	STAR-Fusion	1726	116	1	384	0.23	0.99	0.373
sim_50	STAR-Fusion	1829	115	1	385	0.23	0.99	0.373
sim_50	STAR-Fusion	1835	115	0	385	0.23	1	0.374
sim_50	STAR-Fusion	1879	114	0	386	0.23	1	0.374
sim_50	STAR-Fusion	1911	113	0	387	0.23	1	0.374
sim_50	STAR-Fusion	1919	112	0	388	0.22	1	0.361
sim_50	STAR-Fusion	1931	111	0	389	0.22	1	0.361
sim_50	STAR-Fusion	1972	110	0	390	0.22	1	0.361
sim_50	STAR-Fusion	2001	109	0	391	0.22	1	0.361
sim_50	STAR-Fusion	2003	108	0	392	0.22	1	0.361
sim_50	STAR-Fusion	2099	107	0	393	0.21	1	0.347
sim_50	STAR-Fusion	2166	106	0	394	0.21	1	0.347
sim_50	STAR-Fusion	2190	105	0	395	0.21	1	0.347
sim_50	STAR-Fusion	2202	104	0	396	0.21	1	0.347
sim_50	STAR-Fusion	2287	103	0	397	0.21	1	0.347
sim_50	STAR-Fusion	2338	102	0	398	0.20	1	0.333
sim_50	STAR-Fusion	2381	100	0	400	0.20	1	0.333
sim_50	STAR-Fusion	2404	99	0	401	0.20	1	0.333
sim_50	STAR-Fusion	2425	98	0	402	0.20	1	0.333
sim_50	STAR-Fusion	2426	97	0	403	0.19	1	0.319
sim_50	STAR-Fusion	2457	96	0	404	0.19	1	0.319
sim_50	STAR-Fusion	2500	95	0	405	0.19	1	0.319
sim_50	STAR-Fusion	2503	94	0	406	0.19	1	0.319
sim_50	STAR-Fusion	2540	93	0	407	0.19	1	0.319
sim_50	STAR-Fusion	2561	92	0	408	0.18	1	0.305
sim_50	STAR-Fusion	2569	91	0	409	0.18	1	0.305
sim_50	STAR-Fusion	2570	90	0	410	0.18	1	0.305
sim_50	STAR-Fusion	2628	89	0	411	0.18	1	0.305
sim_50	STAR-Fusion	2632	88	0	412	0.18	1	0.305
sim_50	STAR-Fusion	2633	87	0	413	0.17	1	0.291
sim_50	STAR-Fusion	2651	86	0	414	0.17	1	0.291
sim_50	STAR-Fusion	2677	85	0	415	0.17	1	0.291
sim_50	STAR-Fusion	2788	84	0	416	0.17	1	0.291
sim_50	STAR-Fusion	2846	83	0	417	0.17	1	0.291
sim_50	STAR-Fusion	2876	82	0	418	0.16	1	0.276
sim_50	STAR-Fusion	2894	81	0	419	0.16	1	0.276
sim_50	STAR-Fusion	2895	80	0	420	0.16	1	0.276
sim_50	STAR-Fusion	2911	79	0	421	0.16	1	0.276
sim_50	STAR-Fusion	2948	78	0	422	0.16	1	0.276
sim_50	STAR-Fusion	3087	77	0	423	0.15	1	0.261
sim_50	STAR-Fusion	3241	76	0	424	0.15	1	0.261
sim_50	STAR-Fusion	3330	75	0	425	0.15	1	0.261
sim_50	STAR-Fusion	3421	74	0	426	0.15	1	0.261
sim_50	STAR-Fusion	3533	73	0	427	0.15	1	0.261
sim_50	STAR-Fusion	3549	72	0	428	0.14	1	0.246
sim_50	STAR-Fusion	3569	71	0	429	0.14	1	0.246
sim_50	STAR-Fusion	3594	70	0	430	0.14	1	0.246
sim_50	STAR-Fusion	3633	69	0	431	0.14	1	0.246
sim_50	STAR-Fusion	3707	68	0	432	0.14	1	0.246
sim_50	STAR-Fusion	3766	67	0	433	0.13	1	0.230
sim_50	STAR-Fusion	3774	66	0	434	0.13	1	0.230
sim_50	STAR-Fusion	3825	65	0	435	0.13	1	0.230
sim_50	STAR-Fusion	3847	64	0	436	0.13	1	0.230
sim_50	STAR-Fusion	3947	63	0	437	0.13	1	0.230
sim_50	STAR-Fusion	3952	62	0	438	0.12	1	0.214
sim_50	STAR-Fusion	3989	61	0	439	0.12	1	0.214
sim_50	STAR-Fusion	4034	60	0	440	0.12	1	0.214
sim_50	STAR-Fusion	4054	59	0	441	0.12	1	0.214
sim_50	STAR-Fusion	4155	58	0	442	0.12	1	0.214
sim_50	STAR-Fusion	4168	57	0	443	0.11	1	0.198
sim_50	STAR-Fusion	4175	56	0	444	0.11	1	0.198
sim_50	STAR-Fusion	4198	55	0	445	0.11	1	0.198
sim_50	STAR-Fusion	4285	54	0	446	0.11	1	0.198
sim_50	STAR-Fusion	4309	53	0	447	0.11	1	0.198
sim_50	STAR-Fusion	4380	52	0	448	0.10	1	0.182
sim_50	STAR-Fusion	4421	51	0	449	0.10	1	0.182
sim_50	STAR-Fusion	4500	50	0	450	0.10	1	0.182
sim_50	STAR-Fusion	4595	49	0	451	0.10	1	0.182
sim_50	STAR-Fusion	4696	48	0	452	0.10	1	0.182
sim_50	STAR-Fusion	4722	47	0	453	0.09	1	0.165
sim_50	STAR-Fusion	4742	46	0	454	0.09	1	0.165
sim_50	STAR-Fusion	4795	45	0	455	0.09	1	0.165
sim_50	STAR-Fusion	4869	44	0	456	0.09	1	0.165
sim_50	STAR-Fusion	4874	43	0	457	0.09	1	0.165
sim_50	STAR-Fusion	5088	42	0	458	0.08	1	0.148
sim_50	STAR-Fusion	5480	41	0	459	0.08	1	0.148
sim_50	STAR-Fusion	5580	40	0	460	0.08	1	0.148
sim_50	STAR-Fusion	5612	39	0	461	0.08	1	0.148
sim_50	STAR-Fusion	5652	38	0	462	0.08	1	0.148
sim_50	STAR-Fusion	5671	37	0	463	0.07	1	0.131
sim_50	STAR-Fusion	5710	36	0	464	0.07	1	0.131
sim_50	STAR-Fusion	5882	35	0	465	0.07	1	0.131
sim_50	STAR-Fusion	6068	34	0	466	0.07	1	0.131
sim_50	STAR-Fusion	6304	33	0	467	0.07	1	0.131
sim_50	STAR-Fusion	6348	32	0	468	0.06	1	0.113
sim_50	STAR-Fusion	6359	31	0	469	0.06	1	0.113
sim_50	STAR-Fusion	6381	30	0	470	0.06	1	0.113
sim_50	STAR-Fusion	6907	29	0	471	0.06	1	0.113
sim_50	STAR-Fusion	6982	28	0	472	0.06	1	0.113
sim_50	STAR-Fusion	7558	27	0	473	0.05	1	0.095
sim_50	STAR-Fusion	7813	26	0	474	0.05	1	0.095
sim_50	STAR-Fusion	8293	25	0	475	0.05	1	0.095
sim_50	STAR-Fusion	8362	24	0	476	0.05	1	0.095
sim_50	STAR-Fusion	8595	23	0	477	0.05	1	0.095
sim_50	STAR-Fusion	8615	22	0	478	0.04	1	0.077
sim_50	STAR-Fusion	8795	21	0	479	0.04	1	0.077
sim_50	STAR-Fusion	9006	20	0	480	0.04	1	0.077
sim_50	STAR-Fusion	9239	19	0	481	0.04	1	0.077
sim_50	STAR-Fusion	10008	18	0	482	0.04	1	0.077
sim_50	STAR-Fusion	10039	17	0	483	0.03	1	0.058
sim_50	STAR-Fusion	10525	16	0	484	0.03	1	0.058
sim_50	STAR-Fusion	10809	15	0	485	0.03	1	0.058
sim_50	STAR-Fusion	10966	14	0	486	0.03	1	0.058
sim_50	STAR-Fusion	11043	13	0	487	0.03	1	0.058
sim_50	STAR-Fusion	11759	12	0	488	0.02	1	0.039
sim_50	STAR-Fusion	11860	11	0	489	0.02	1	0.039
sim_50	STAR-Fusion	12044	10	0	490	0.02	1	0.039
sim_50	STAR-Fusion	12076	9	0	491	0.02	1	0.039
sim_50	STAR-Fusion	12584	8	0	492	0.02	1	0.039
sim_50	STAR-Fusion	12655	7	0	493	0.01	1	0.020
sim_50	STAR-Fusion	12736	6	0	494	0.01	1	0.020
sim_50	STAR-Fusion	13009	5	0	495	0.01	1	0.020
sim_50	STAR-Fusion	13198	4	0	496	0.01	1	0.020
sim_50	STAR-Fusion	13458	3	0	497	0.01	1	0.020
sim_50	STAR-Fusion	13940	2	0	498	0.00	1	0.000
sim_50	JAFFA-Assembly	1	278	17	222	0.56	0.94	0.702
sim_50	JAFFA-Assembly	3	275	17	225	0.55	0.94	0.694
sim_50	JAFFA-Assembly	5	274	16	226	0.55	0.94	0.694
sim_50	JAFFA-Assembly	7	273	16	227	0.55	0.94	0.694
sim_50	JAFFA-Assembly	8	272	15	228	0.54	0.95	0.689
sim_50	JAFFA-Assembly	9	270	15	230	0.54	0.95	0.689
sim_50	JAFFA-Assembly	10	270	14	230	0.54	0.95	0.689
sim_50	JAFFA-Assembly	11	269	13	231	0.54	0.95	0.689
sim_50	JAFFA-Assembly	13	268	13	232	0.54	0.95	0.689
sim_50	JAFFA-Assembly	14	267	12	233	0.53	0.96	0.683
sim_50	JAFFA-Assembly	15	266	12	234	0.53	0.96	0.683
sim_50	JAFFA-Assembly	16	265	12	235	0.53	0.96	0.683
sim_50	JAFFA-Assembly	17	263	12	237	0.53	0.96	0.683
sim_50	JAFFA-Assembly	18	262	12	238	0.52	0.96	0.675
sim_50	JAFFA-Assembly	19	259	12	241	0.52	0.96	0.675
sim_50	JAFFA-Assembly	20	258	12	242	0.52	0.96	0.675
sim_50	JAFFA-Assembly	22	253	11	247	0.51	0.96	0.666
sim_50	JAFFA-Assembly	23	250	11	250	0.50	0.96	0.658
sim_50	JAFFA-Assembly	24	247	10	253	0.49	0.96	0.649
sim_50	JAFFA-Assembly	25	245	10	255	0.49	0.96	0.649
sim_50	JAFFA-Assembly	27	244	10	256	0.49	0.96	0.649
sim_50	JAFFA-Assembly	28	243	10	257	0.49	0.96	0.649
sim_50	JAFFA-Assembly	29	242	10	258	0.48	0.96	0.640
sim_50	JAFFA-Assembly	30	240	10	260	0.48	0.96	0.640
sim_50	JAFFA-Assembly	31	239	10	261	0.48	0.96	0.640
sim_50	JAFFA-Assembly	33	236	10	264	0.47	0.96	0.631
sim_50	JAFFA-Assembly	37	235	10	265	0.47	0.96	0.631
sim_50	JAFFA-Assembly	38	233	10	267	0.47	0.96	0.631
sim_50	JAFFA-Assembly	40	232	10	268	0.46	0.96	0.622
sim_50	JAFFA-Assembly	41	231	10	269	0.46	0.96	0.622
sim_50	JAFFA-Assembly	47	231	9	269	0.46	0.96	0.622
sim_50	JAFFA-Assembly	48	229	9	271	0.46	0.96	0.622
sim_50	JAFFA-Assembly	49	228	9	272	0.46	0.96	0.622
sim_50	JAFFA-Assembly	50	226	9	274	0.45	0.96	0.613
sim_50	JAFFA-Assembly	51	225	9	275	0.45	0.96	0.613
sim_50	JAFFA-Assembly	52	224	9	276	0.45	0.96	0.613
sim_50	JAFFA-Assembly	53	222	9	278	0.44	0.96	0.603
sim_50	JAFFA-Assembly	54	221	9	279	0.44	0.96	0.603
sim_50	JAFFA-Assembly	55	220	9	280	0.44	0.96	0.603
sim_50	JAFFA-Assembly	56	218	9	282	0.44	0.96	0.603
sim_50	JAFFA-Assembly	57	216	9	284	0.43	0.96	0.594
sim_50	JAFFA-Assembly	59	215	9	285	0.43	0.96	0.594
sim_50	JAFFA-Assembly	60	214	9	286	0.43	0.96	0.594
sim_50	JAFFA-Assembly	62	212	9	288	0.42	0.96	0.584
sim_50	JAFFA-Assembly	64	211	9	289	0.42	0.96	0.584
sim_50	JAFFA-Assembly	66	210	9	290	0.42	0.96	0.584
sim_50	JAFFA-Assembly	71	209	9	291	0.42	0.96	0.584
sim_50	JAFFA-Assembly	73	208	9	292	0.42	0.96	0.584
sim_50	JAFFA-Assembly	76	206	9	294	0.41	0.96	0.575
sim_50	JAFFA-Assembly	80	205	9	295	0.41	0.96	0.575
sim_50	JAFFA-Assembly	81	203	9	297	0.41	0.96	0.575
sim_50	JAFFA-Assembly	82	201	9	299	0.40	0.96	0.565
sim_50	JAFFA-Assembly	85	200	9	300	0.40	0.96	0.565
sim_50	JAFFA-Assembly	87	199	9	301	0.40	0.96	0.565
sim_50	JAFFA-Assembly	89	197	9	303	0.39	0.96	0.555
sim_50	JAFFA-Assembly	92	196	9	304	0.39	0.96	0.555
sim_50	JAFFA-Assembly	95	195	9	305	0.39	0.96	0.555
sim_50	JAFFA-Assembly	97	194	9	306	0.39	0.96	0.555
sim_50	JAFFA-Assembly	100	193	9	307	0.39	0.96	0.555
sim_50	JAFFA-Assembly	102	192	9	308	0.38	0.96	0.544
sim_50	JAFFA-Assembly	103	191	9	309	0.38	0.96	0.544
sim_50	JAFFA-Assembly	106	190	9	310	0.38	0.95	0.543
sim_50	JAFFA-Assembly	108	189	9	311	0.38	0.95	0.543
sim_50	JAFFA-Assembly	109	188	9	312	0.38	0.95	0.543
sim_50	JAFFA-Assembly	110	187	9	313	0.37	0.95	0.533
sim_50	JAFFA-Assembly	111	184	9	316	0.37	0.95	0.533
sim_50	JAFFA-Assembly	112	182	9	318	0.36	0.95	0.522
sim_50	JAFFA-Assembly	115	181	8	319	0.36	0.96	0.524
sim_50	JAFFA-Assembly	127	179	8	321	0.36	0.96	0.524
sim_50	JAFFA-Assembly	135	178	8	322	0.36	0.96	0.524
sim_50	JAFFA-Assembly	136	177	8	323	0.35	0.96	0.513
sim_50	JAFFA-Assembly	137	176	8	324	0.35	0.96	0.513
sim_50	JAFFA-Assembly	141	175	8	325	0.35	0.96	0.513
sim_50	JAFFA-Assembly	142	174	8	326	0.35	0.96	0.513
sim_50	JAFFA-Assembly	145	173	8	327	0.35	0.96	0.513
sim_50	JAFFA-Assembly	149	172	8	328	0.34	0.96	0.502
sim_50	JAFFA-Assembly	152	171	8	329	0.34	0.96	0.502
sim_50	JAFFA-Assembly	153	170	8	330	0.34	0.96	0.502
sim_50	JAFFA-Assembly	159	169	8	331	0.34	0.95	0.501
sim_50	JAFFA-Assembly	162	168	8	332	0.34	0.95	0.501
sim_50	JAFFA-Assembly	172	166	8	334	0.33	0.95	0.490
sim_50	JAFFA-Assembly	174	165	8	335	0.33	0.95	0.490
sim_50	JAFFA-Assembly	175	164	8	336	0.33	0.95	0.490
sim_50	JAFFA-Assembly	177	163	8	337	0.33	0.95	0.490
sim_50	JAFFA-Assembly	188	162	8	338	0.32	0.95	0.479
sim_50	JAFFA-Assembly	193	160	8	340	0.32	0.95	0.479
sim_50	JAFFA-Assembly	199	159	8	341	0.32	0.95	0.479
sim_50	JAFFA-Assembly	213	158	8	342	0.32	0.95	0.479
sim_50	JAFFA-Assembly	223	157	8	343	0.31	0.95	0.467
sim_50	JAFFA-Assembly	230	156	8	344	0.31	0.95	0.467
sim_50	JAFFA-Assembly	235	155	8	345	0.31	0.95	0.467
sim_50	JAFFA-Assembly	236	154	8	346	0.31	0.95	0.467
sim_50	JAFFA-Assembly	254	153	8	347	0.31	0.95	0.467
sim_50	JAFFA-Assembly	256	152	8	348	0.30	0.95	0.456
sim_50	JAFFA-Assembly	258	151	8	349	0.30	0.95	0.456
